"d [um]","F_fringe []","F_gap []"
1,0.0156026728378459,0.983363681817081
1.5,0.0294017359834737,0.969892702481635
2,0.0168378352518752,0.982642976690993
2.5,0.0267063294137888,0.972870795966506
3,0.0267041241955792,0.972942104155147
3.5,0.020301320189071,0.979399059303744
4,0.0250230721699849,0.974711609213326
4.5,0.0226751663438306,0.977088320171311
5,0.0300826906421691,0.969703075861456
5.5,0.0271457024894328,0.972659418637494
6,0.0271995211940324,0.972620185848334
6.5,0.0351574082129539,0.964674972503994
7,0.0344114618790675,0.965432670429051
7.5,0.0317698864412209,0.968083680141949
8.2,0.0369005131139841,0.962964418125292
8.5,0.0355378847744236,0.964331212420537
9,0.038953531255285,0.960921799610648
9.5,0.0400235806339196,0.959857886291063
10,0.0531918501910523,0.946693913318465
10.5,0.0457526357630191,0.954138695350769
11,0.0442002740082977,0.955696018617614
11.5,0.0473456027160721,0.952554904274244
12,0.0443805745176262,0.955522649476032
12.5,0.0486408884805811,0.951266144926852
13,0.0518106118008329,0.948099018620604
13.5,0.058976244092943,0.940936870895563
14,0.0558079142830022,0.944107016700299
14.5,0.0558398411307471,0.944078775134145
15,0.0594234634677482,0.940496366024097
15.5,0.0597653099217677,0.94015623709773
16,0.0589710943174253,0.940953166763738
16.5,0.0634640311428109,0.936463174281237
17,0.0660469745200297,0.933881606288254
17.5,0.0641551348502462,0.935775113180912
18,0.0723169334312306,0.927614613273468
18.5,0.0671465088148767,0.93278615883964
19,0.0650522245269309,0.934881678737964
19.5,0.0727854155031649,0.927149392870216
20,0.075297874886409,0.924639078899764
